TITLE     = ""
VARIABLES = "V1"
"V2"
"V3"
"V4"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=13.8952323241,Y=5.79320545209
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV
H=5 A=0
MFC=""
T="0                                                              10"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=45.0271784401,Y=61.6514555726
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV-BOLD
H=3 A=0
MFC=""
T="u=25mV,  s=0.45mS/cm^2\\nu=38mV,  s=0.76mS/cm^2\\ndifference\\nweighing function"
ZONE T="ZONE 001"
 I=399, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE )
 5.000000075E-002 -6.333499908E+001 -6.308800125E+001 2.469978333E-001
 1.000000015E-001 -6.268700027E+001 -6.221300125E+001 4.739990234E-001
 1.500000060E-001 -6.205400085E+001 -6.137300110E+001 6.809997559E-001
 2.000000030E-001 -6.143799973E+001 -6.056700134E+001 8.709983826E-001
 2.500000000E-001 -6.083599854E+001 -5.979299927E+001 1.042999268E+000
 3.000000119E-001 -6.025000000E+001 -5.905099869E+001 1.199001312E+000
 3.499999940E-001 -5.967800140E+001 -5.833800125E+001 1.340000153E+000
 4.000000060E-001 -5.911999893E+001 -5.765399933E+001 1.465999603E+000
 4.499999881E-001 -5.857500076E+001 -5.699599838E+001 1.579002380E+000
 5.000000000E-001 -5.804399872E+001 -5.636500168E+001 1.678997040E+000
 5.500000119E-001 -5.752600098E+001 -5.575799942E+001 1.768001556E+000
 6.000000238E-001 -5.702000046E+001 -5.517399979E+001 1.846000671E+000
 6.499999762E-001 -5.652600098E+001 -5.461199951E+001 1.914001465E+000
 6.999999881E-001 -5.604399872E+001 -5.407099915E+001 1.972999573E+000
 7.500000000E-001 -5.557300186E+001 -5.354899979E+001 2.024002075E+000
 8.000000119E-001 -5.511199951E+001 -5.304399872E+001 2.068000793E+000
 8.500000238E-001 -5.466099930E+001 -5.255599976E+001 2.104999542E+000
 8.999999762E-001 -5.421900177E+001 -5.208200073E+001 2.137001038E+000
 9.499999881E-001 -5.378699875E+001 -5.162200165E+001 2.164997101E+000
 1.000000000E+000 -5.336199951E+001 -5.117300034E+001 2.188999176E+000
 1.049999952E+000 -5.294400024E+001 -5.073400116E+001 2.209999084E+000
 1.100000024E+000 -5.253400040E+001 -5.030199814E+001 2.232002258E+000
 1.149999976E+000 -5.212900162E+001 -4.987699890E+001 2.252002716E+000
 1.200000048E+000 -5.172800064E+001 -4.945600128E+001 2.271999359E+000
 1.250000000E+000 -5.133200073E+001 -4.903699875E+001 2.295001984E+000
 1.299999952E+000 -5.093799973E+001 -4.861800003E+001 2.319999695E+000
 1.350000024E+000 -5.054600143E+001 -4.819499969E+001 2.351001740E+000
 1.399999976E+000 -5.015399933E+001 -4.776699829E+001 2.387001038E+000
 1.450000048E+000 -4.976100159E+001 -4.733000183E+001 2.430999756E+000
 1.500000000E+000 -4.936500168E+001 -4.688100052E+001 2.484001160E+000
 1.549999952E+000 -4.896500015E+001 -4.641500092E+001 2.549999237E+000
 1.600000024E+000 -4.855699921E+001 -4.592699814E+001 2.630001068E+000
 1.649999976E+000 -4.814099884E+001 -4.541199875E+001 2.729000092E+000
 1.700000048E+000 -4.771200180E+001 -4.486100006E+001 2.851001740E+000
 1.750000000E+000 -4.726800156E+001 -4.426599884E+001 3.002002716E+000
 1.799999952E+000 -4.680500031E+001 -4.361399841E+001 3.191001892E+000
 1.850000024E+000 -4.631700134E+001 -4.288899994E+001 3.428001404E+000
 1.899999976E+000 -4.579999924E+001 -4.206999969E+001 3.729999542E+000
 1.950000048E+000 -4.524599838E+001 -4.112699890E+001 4.118999481E+000
 2.000000000E+000 -4.464400101E+001 -4.002099991E+001 4.623001099E+000
 2.049999952E+000 -4.398400116E+001 -3.869100189E+001 5.292999268E+000
 2.099999905E+000 -4.324900055E+001 -3.704999924E+001 6.199001312E+000
 2.150000095E+000 -4.241799927E+001 -3.496900177E+001 7.448997498E+000
 2.200000048E+000 -4.145999908E+001 -3.225199890E+001 9.208000183E+000
 2.250000000E+000 -4.033499908E+001 -2.862500000E+001 1.170999908E+001
