TITLE     = ""
VARIABLES = "V1"
"V2"
"V3"
"V4"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=26.2517264011,Y=6.79851286128
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV
H=6 A=0
MFC=""
T="0                                   10"
ZONE T="ZONE 001"
 I=1000, J=1, K=1,F=POINT
DT=(SINGLE SINGLE SINGLE SINGLE )
 5.000000075E-002 -5.884000015E+001 -5.851200104E+001 3.279991150E-001
 1.000000015E-001 -5.770199966E+001 -5.707600021E+001 6.259994507E-001
 1.500000060E-001 -5.658200073E+001 -5.568500137E+001 8.969993591E-001
 2.000000030E-001 -5.547600174E+001 -5.433300018E+001 1.143001556E+000
 2.500000000E-001 -5.437900162E+001 -5.301100159E+001 1.368000031E+000
 3.000000119E-001 -5.328499985E+001 -5.170899963E+001 1.576000214E+000
 3.499999940E-001 -5.218700027E+001 -5.041600037E+001 1.770999908E+000
 4.000000060E-001 -5.107600021E+001 -4.911299896E+001 1.963001251E+000
 4.499999881E-001 -4.993899918E+001 -4.778200150E+001 2.156997681E+000
 5.000000000E-001 -4.876100159E+001 -4.639400101E+001 2.367000580E+000
 5.500000119E-001 -4.752099991E+001 -4.491400146E+001 2.606998444E+000
 6.000000238E-001 -4.619200134E+001 -4.329299927E+001 2.899002075E+000
 6.499999762E-001 -4.473699951E+001 -4.146400070E+001 3.272998810E+000
 6.999999881E-001 -4.310400009E+001 -3.933200073E+001 3.771999359E+000
 7.500000000E-001 -4.122399902E+001 -3.676200104E+001 4.461997986E+000
 8.000000119E-001 -3.899499893E+001 -3.354800034E+001 5.446998596E+000
 8.500000238E-001 -3.626399994E+001 -2.937800026E+001 6.885999680E+000
 8.999999762E-001 -3.280300140E+001 -2.376600075E+001 9.037000656E+000
 9.499999881E-001 -2.825699997E+001 -1.596599960E+001 1.229100037E+001
 1.000000000E+000 -2.206900024E+001 -4.959000111E+000 1.711000061E+001
 1.049999952E+000 -1.339099979E+001 1.007900047E+001 2.347000122E+001
 1.100000024E+000 -1.121000051E+000 2.760400009E+001 2.872500038E+001
 1.149999976E+000 1.530599976E+001 4.049700165E+001 2.519100189E+001
 1.200000048E+000 3.297499847E+001 4.279499817E+001 9.819999695E+000
 1.250000000E+000 4.323600006E+001 4.188700104E+001 -1.348999023E+000
 1.299999952E+000 4.328599930E+001 4.139699936E+001 -1.888999939E+000
 1.350000024E+000 4.260499954E+001 4.001399994E+001 -2.590999603E+000
 1.399999976E+000 4.163600159E+001 3.886399841E+001 -2.772003174E+000
 1.450000048E+000 4.037200165E+001 3.709600067E+001 -3.276000977E+000
 1.500000000E+000 3.892100143E+001 3.551599884E+001 -3.405002594E+000
 1.549999952E+000 3.725400162E+001 3.346099854E+001 -3.793003082E+000
 1.600000024E+000 3.544300079E+001 3.154999924E+001 -3.893001556E+000
 1.649999976E+000 3.346599960E+001 2.929999924E+001 -4.166000366E+000
 1.700000048E+000 3.138100052E+001 2.713699913E+001 -4.244001389E+000
 1.750000000E+000 2.917700005E+001 2.476600075E+001 -4.410999298E+000
 1.799999952E+000 2.689699936E+001 2.243300056E+001 -4.463998795E+000
 1.850000024E+000 2.454100037E+001 1.999399948E+001 -4.547000885E+000
 1.899999976E+000 2.213699913E+001 1.756599998E+001 -4.570999146E+000
 1.950000048E+000 1.969099998E+001 1.509599972E+001 -4.595000267E+000
 2.000000000E+000 1.722200012E+001 1.263199997E+001 -4.590000153E+000
 2.049999952E+000 1.473799992E+001 1.016100025E+001 -4.576999664E+000
 2.099999905E+000 1.224899960E+001 7.699999809E+000 -4.548999786E+000
 2.150000095E+000 9.762999535E+000 5.250000000E+000 -4.512999535E+000
 2.200000048E+000 7.284999847E+000 2.816999912E+000 -4.467999935E+000
 2.250000000E+000 4.822000027E+000 4.029999971E-001 -4.419000149E+000
 2.299999952E+000 2.377000093E+000 -1.988999963E+000 -4.366000175E+000
 2.349999905E+000 -4.800000042E-002 -4.359000206E+000 -4.311000347E+000
 2.400000095E+000 -2.450999975E+000 -6.706999779E+000 -4.255999565E+000
 2.450000048E+000 -4.831999779E+000 -9.032999992E+000 -4.201000214E+000
 2.500000000E+000 -7.190000057E+000 -1.133899975E+001 -4.148999691E+000
 2.549999952E+000 -9.527000427E+000 -1.362800026E+001 -4.100999832E+000
 2.599999905E+000 -1.184399986E+001 -1.590299988E+001 -4.059000015E+000
 2.650000095E+000 -1.414599991E+001 -1.817099953E+001 -4.024999619E+000
 2.700000048E+000 -1.643600082E+001 -2.043799973E+001 -4.001998901E+000
 2.750000000E+000 -1.871999931E+001 -2.271400070E+001 -3.994001389E+000
 2.799999952E+000 -2.100799942E+001 -2.501199913E+001 -4.003999710E+000
 2.849999905E+000 -2.330900002E+001 -2.734900093E+001 -4.040000916E+000
 2.900000095E+000 -2.563899994E+001 -2.974600029E+001 -4.107000351E+000
 2.950000048E+000 -2.801600075E+001 -3.223099899E+001 -4.214998245E+000
 3.000000000E+000 -3.046299934E+001 -3.483499908E+001 -4.371999741E+000
 3.049999952E+000 -3.301300049E+001 -3.759799957E+001 -4.584999084E+000
 3.099999905E+000 -3.570000076E+001 -4.056499863E+001 -4.864997864E+000
 3.150000095E+000 -3.856999969E+001 -4.377999878E+001 -5.209999084E+000
 3.200000048E+000 -4.167100143E+001 -4.727799988E+001 -5.606998444E+000
 3.250000000E+000 -4.505099869E+001 -5.106100082E+001 -6.010002136E+000
 3.299999952E+000 -4.874399948E+001 -5.507099915E+001 -6.326999664E+000
 3.349999905E+000 -5.274000168E+001 -5.914300156E+001 -6.402999878E+000
 3.400000095E+000 -5.694900131E+001 -6.299900055E+001 -6.049999237E+000
 3.450000048E+000 -6.115499878E+001 -6.630400085E+001 -5.149002075E+000
 3.500000000E+000 -6.502300262E+001 -6.881400299E+001 -3.791000366E+000
 3.549999952E+000 -6.820099640E+001 -7.049700165E+001 -2.296005249E+000
 3.599999905E+000 -7.050000000E+001 -7.150499725E+001 -1.004997253E+000
 3.650000095E+000 -7.197299957E+001 -7.204900360E+001 -7.600402832E-002
 3.700000048E+000 -7.282700348E+001 -7.230799866E+001 5.190048218E-001
 3.750000000E+000 -7.327999878E+001 -7.240200043E+001 8.779983521E-001
 3.799999952E+000 -7.349500275E+001 -7.240399933E+001 1.091003418E+000
 3.849999905E+000 -7.357700348E+001 -7.235500336E+001 1.222000122E+000
 3.900000095E+000 -7.358499908E+001 -7.227600098E+001 1.308998108E+000
 3.950000048E+000 -7.355000305E+001 -7.218099976E+001 1.369003296E+000
 4.000000000E+000 -7.349199677E+001 -7.207599640E+001 1.416000366E+000
 4.050000191E+000 -7.341899872E+001 -7.196299744E+001 1.456001282E+000
 4.099999905E+000 -7.333699799E+001 -7.184600067E+001 1.490997314E+000
 4.150000095E+000 -7.325000000E+001 -7.172499847E+001 1.525001526E+000
 4.199999809E+000 -7.315799713E+001 -7.160099792E+001 1.556999207E+000
 4.250000000E+000 -7.306199646E+001 -7.147399902E+001 1.587997437E+000
 4.300000191E+000 -7.296399689E+001 -7.134500122E+001 1.618995667E+000
 4.349999905E+000 -7.286299896E+001 -7.121299744E+001 1.650001526E+000
 4.400000095E+000 -7.276000214E+001 -7.107900238E+001 1.680999756E+000
 4.449999809E+000 -7.265499878E+001 -7.094300079E+001 1.711997986E+000
 4.500000000E+000 -7.254699707E+001 -7.080500031E+001 1.741996765E+000
 4.550000191E+000 -7.243800354E+001 -7.066400146E+001 1.774002075E+000
 4.599999905E+000 -7.232599640E+001 -7.052200317E+001 1.803993225E+000
 4.650000095E+000 -7.221199799E+001 -7.037699890E+001 1.834999084E+000
 4.699999809E+000 -7.209600067E+001 -7.023100281E+001 1.864997864E+000
 4.750000000E+000 -7.197799683E+001 -7.008200073E+001 1.895996094E+000
 4.800000191E+000 -7.185800171E+001 -6.993099976E+001 1.927001953E+000
