ZONE T="ZONE1"
I= 61 ,J= 21 ,K=1,F=POINT
    0.000   0.00000 103.34195  -0.00483   0.00000
    1.667   0.00000 130.01083  -0.00772   0.00000
    3.333   0.00000 161.68014  -0.00931   0.00000
    5.000   0.00000 186.68222  -0.01107   0.00000
    6.667   0.00000 205.01708  -0.01272   0.00000
    8.333   0.00000 221.68514  -0.01410   0.00000
   10.000   0.00000 233.35278  -0.01523   0.00000
   11.667   0.00000 246.68722  -0.01632   0.00000
   13.333   0.00000 258.35486  -0.01728   0.00000
   15.000   0.00000 268.35570  -0.01816   0.00000
   16.667   0.00000 276.68972  -0.01900   0.00000
   18.333   0.00000 288.35736  -0.01982   0.00000
   20.000   0.00000 295.02459  -0.02045   0.00000
   21.667   0.00000 300.02500  -0.02105   0.00000
   23.333   0.00000 308.35903  -0.02165   0.00000
   25.000   0.00000 315.02625  -0.02224   0.00000
   26.667   0.00000 321.69347  -0.02279   0.00000
   28.333   0.00000 326.69389  -0.02329   0.00000
   30.000   0.00000 331.69431  -0.02379   0.00000
   31.667   0.00000 338.36153  -0.02426   0.00000
   33.333   0.00000 341.69514  -0.02473   0.00000
   35.000   0.00000 346.69556  -0.02517   0.00000
   36.667   0.00000 350.02917  -0.02564   0.00000
   38.333   0.00000 351.69597  -0.02605   0.00000
   40.000   0.00000 353.36278  -0.02649   0.00000
   41.667   0.00000 351.69597  -0.02695   0.00000
   43.333   0.00000 351.69597  -0.02739   0.00000
   45.000   0.00000 343.36195  -0.02782   0.00000
   46.667   0.00000 330.02750  -0.02828   0.00000
   48.333   0.00000 303.35861  -0.02870   0.00000
   50.000   0.00000 173.34778  -0.02857   0.00000
   51.667   0.00000  65.00542  -0.02691   0.00000
   53.333   0.00000  61.67181  -0.02732   0.00000
   55.000   0.00000   1.66681   0.01230 -31.23279
   56.667   0.00000   1.66681   0.01333 -36.53294
   58.333   0.00000   1.66681   0.01330 -35.19188
   60.000   0.00000   1.66681   0.01322 -33.90065
   61.667   0.00000   1.66681   0.01308 -34.31392
   63.333   0.00000   1.66681   0.01412 -34.14440
   65.000   0.00000   1.66681   0.01415 -34.01666
   66.667   0.00000   1.66681   0.01412 -33.88815
   68.333   0.00000   1.66681   0.01406 -33.76111
   70.000   0.00000   1.66681   0.01396 -33.63536
   71.667   0.00000   1.66681   0.01383 -33.51084
   73.333   0.00000   1.66681   0.01510 -33.38750
   75.000   0.00000   1.66681   0.01512 -33.26529
   76.667   0.00000   1.66681   0.01511 -33.14416
   78.333   0.00000   1.66681   0.01508 -33.02407
   80.000   0.00000   1.66681   0.01502 -32.90497
   81.667   0.00000   1.66681   0.01493 -32.78683
   83.333   0.00000   1.66681   0.01620 -32.66962
   85.000   0.00000   1.66681   0.01626 -32.55328
   86.667   0.00000   1.66681   0.01630 -32.43780
   88.333   0.00000   1.66681   0.01631 -32.32314
   90.000   0.00000   1.66681   0.01631 -32.20928
   91.667   0.00000   1.66681   0.01628 -32.09617
   93.333   0.00000   1.66681   0.01624 -31.98381
   95.000   0.00000   1.66681   0.01619 -31.87216
   96.667   0.00000   1.66681   0.01612 -31.76119
   98.333   0.00000   1.66681   0.01763 -31.65090
  100.000   0.00000   1.66681   0.01769 -31.54124
    0.000   0.07500  10.00083   0.00059   0.00000
    1.667   0.07500  75.00625  -0.00306   0.00000
    3.333   0.07500 110.00917  -0.00660   0.00000
    5.000   0.07500 135.01125  -0.00925   0.00000
    6.667   0.07500 168.34736  -0.01059   0.00000
    8.333   0.07500 190.01583  -0.01228   0.00000
   10.000   0.07500 208.35070  -0.01380   0.00000
   11.667   0.07500 221.68514  -0.01498   0.00000
   13.333   0.07500 235.01958  -0.01616   0.00000
   15.000   0.07500 246.68722  -0.01722   0.00000
   16.667   0.07500 258.35486  -0.01811   0.00000
   18.333   0.07500 268.35570  -0.01895   0.00000
   20.000   0.07500 276.68972  -0.01974   0.00000
   21.667   0.07500 285.02375  -0.02047   0.00000
   23.333   0.07500 295.02459  -0.02117   0.00000
   25.000   0.07500 300.02500  -0.02167   0.00000
   26.667   0.07500 306.69222  -0.02228   0.00000
   28.333   0.07500 313.35945  -0.02284   0.00000
   30.000   0.07500 318.35986  -0.02331   0.00000
   31.667   0.07500 325.02709  -0.02382   0.00000
   33.333   0.07500 331.69431  -0.02433   0.00000
   35.000   0.07500 335.02792  -0.02475   0.00000
   36.667   0.07500 338.36153  -0.02521   0.00000
   38.333   0.07500 346.69556  -0.02568   0.00000
   40.000   0.07500 346.69556  -0.02608   0.00000
   41.667   0.07500 350.02917  -0.02652   0.00000
   43.333   0.07500 350.02917  -0.02695   0.00000
   45.000   0.07500 348.36236  -0.02739   0.00000
   46.667   0.07500 346.69556  -0.02783   0.00000
   48.333   0.07500 335.02792  -0.02825   0.00000
   50.000   0.07500 311.69264  -0.02868   0.00000
   51.667   0.07500 213.35111  -0.02879   0.00000
   53.333   0.07500  61.67181  -0.02677   0.00000
   55.000   0.07500  61.67181  -0.02727   0.00000
   56.667   0.07500  30.00250  -0.02557   0.00000
   58.333   0.07500   1.66681   0.01177 -35.57923
   60.000   0.07500   1.66681   0.01285 -32.76987
   61.667   0.07500   1.66681   0.01281 -36.35451
   63.333   0.07500   1.66681   0.01272 -34.24859
   65.000   0.07500   1.66681   0.01257 -34.35617
   66.667   0.07500   1.66681   0.01365 -34.21251
   68.333   0.07500   1.66681   0.01367 -34.08330
   70.000   0.07500   1.66681   0.01364 -33.95490
   71.667   0.07500   1.66681   0.01357 -33.82789
   73.333   0.07500   1.66681   0.01347 -33.70217
   75.000   0.07500   1.66681   0.01334 -33.57770
   76.667   0.07500   1.66681   0.01463 -33.45442
   78.333   0.07500   1.66681   0.01465 -33.33227
   80.000   0.07500   1.66681   0.01464 -33.21121
   81.667   0.07500   1.66681   0.01460 -33.09120
   83.333   0.07500   1.66681   0.01454 -32.97219
   85.000   0.07500   1.66681   0.01445 -32.85414
   86.667   0.07500   1.66681   0.01574 -32.73702
   88.333   0.07500   1.66681   0.01580 -32.62079
   90.000   0.07500   1.66681   0.01583 -32.50542
   91.667   0.07500   1.66681   0.01584 -32.39087
   93.333   0.07500   1.66681   0.01584 -32.27712
   95.000   0.07500   1.66681   0.01581 -32.16414
   96.667   0.07500   1.66681   0.01577 -32.05191
   98.333   0.07500   1.66681   0.01572 -31.94039
  100.000   0.07500   1.66681   0.01565 -31.82956
    0.000   0.15000   0.00000   0.00000 -82.52965
    1.667   0.15000   0.00000   0.00000 -74.89093
    3.333   0.15000  28.33569  -0.00148   0.00000
    5.000   0.15000  85.00708  -0.00512   0.00000
    6.667   0.15000 116.67639  -0.00829   0.00000
    8.333   0.15000 145.01208  -0.01013   0.00000
   10.000   0.15000 173.34778  -0.01183   0.00000
   11.667   0.15000 193.34945  -0.01343   0.00000
   13.333   0.15000 210.01750  -0.01486   0.00000
   15.000   0.15000 223.35195  -0.01597   0.00000
   16.667   0.15000 235.01958  -0.01709   0.00000
   18.333   0.15000 248.35403  -0.01813   0.00000
   20.000   0.15000 260.02167  -0.01898   0.00000
