  0.1000 -65.05739     0.00   0.16233     0.48 
  0.2000 -65.18613     0.00   0.26995     2.78 
  0.3000 -65.00771     0.00   1.65195     3.75 
  0.4000 -65.11581     0.00   1.02413     4.98 
  0.5000 -64.78600     0.00   0.81090     6.53 
  0.6000 -64.64442     0.00   0.19332     8.46 
  0.7000 -64.66935     0.00  -0.29499    10.83 
  0.8000 -64.26020     0.01   0.41085    13.71 
  0.9000 -63.92361     0.01   0.09820    17.16 
  1.0000 -64.25969     0.01   0.49764    21.24 
  1.1000 -64.47754     0.01  -0.07614    26.02 
  1.2000 -64.47026     0.01   0.24151    31.56 
  1.3000 -63.98219     0.01  -0.15951    37.89 
  1.4000 -63.84018     0.02  -0.31882    45.06 
  1.5000 -63.68469     0.02   0.28958    53.10 
  1.6000 -63.65686     0.03   0.07082    62.00 
  1.7000 -63.66224     0.03  -0.36875    71.76 
  1.8000 -63.59647     0.04   0.32098    82.35 
  1.9000 -63.24015     0.05   0.34235    93.71 
  2.0000 -63.16766     0.06  -0.22857   105.78 
  2.1000 -63.11887     0.08   0.36264   118.45 
  2.2000 -63.05142     0.10   0.07613   131.63 
  2.3000 -62.96437     0.12  -0.11206   145.17 
  2.4000 -62.77465     0.15   0.82994   158.93 
  2.5000 -62.95104     0.18  -0.00836   172.74 
  2.6000 -62.67838     0.21   0.03271   186.44 
  2.7000 -62.71743     0.23   0.60762   199.85 
  2.8000 -62.44816     0.26  -0.18115   212.79 
  2.9000 -62.82416     0.27   0.39900   225.09 
  3.0000 -62.81845     0.27   0.11859   236.58 
  3.1000 -62.81264     0.63  -0.45158   247.09 
  3.2000 -62.86302     0.65  -0.72423   256.50 
  3.3000 -62.53789     0.66  -0.12462   264.68 
  3.4000 -62.42346     0.65  -0.41825   271.52 
  3.5000 -62.40640     0.63  -0.25286   276.94 
  3.6000 -62.50243     0.59   0.01265   280.88 
  3.7000 -62.75369     0.60   0.04119   283.33 
  3.8000 -63.13066     0.60   1.14054   284.27 
  3.9000 -63.00181     0.59   0.05850   283.72 
  4.0000 -63.10755     0.56   0.18800   281.71 
  4.1000 -62.62819     0.00   0.38387   278.33 
  4.2000 -62.47612     0.00   0.37569   273.65 
  4.3000 -62.23892     0.00  -0.55030   267.75 
  4.4000 -62.60909     0.00  -0.02179   260.77 
  4.5000 -62.50583     0.00   0.60483   252.81 
  4.6000 -62.55130     0.00   0.57784   244.01 
  4.7000 -62.64959     0.00   0.22566   234.49 
  4.8000 -63.16618     0.00  -0.07177   224.39 
  4.9000 -63.55897     0.00   1.09227   213.84 
  5.0000 -63.28329     0.00   0.37990   202.97 
  5.1000 -63.68930     0.00   0.38300   191.91 
  5.2000 -63.98096     0.00  -0.60067   180.77 
  5.3000 -64.52621     0.00   0.02838   169.62 
  5.4000 -64.65586     0.00   0.12464   158.60 
  5.5000 -64.66797     0.00   0.24958   147.79 
  5.6000 -64.63101     0.00  -0.26657   137.25 
  5.7000 -64.93181     0.00   0.58860   127.04 
  5.8000 -65.48750     0.00  -0.22648   117.22 
  5.9000 -65.58499     0.00  -0.43852   107.83 
  6.0000 -65.60110     0.00  -0.80303    98.89 
  6.1000 -65.74216     0.00  -0.42136    90.46 
  6.2000 -66.10955     0.00   0.51065    82.49 
  6.3000 -66.48404     0.00   0.32778    75.05 
  6.4000 -66.62024     0.00  -0.03773    68.09 
  6.5000 -66.94723     0.00   1.33069    61.64 
  6.6000 -67.06762     0.00   0.89810    55.66 
  6.7000 -67.36621     0.00   0.45335    50.17 
  6.8000 -67.52010     0.00   0.10072    45.11 
  6.9000 -68.06242     0.00  -1.42091    40.49 
  7.0000 -68.58736     0.00  -0.19749    36.27 
  7.1000 -68.62605     0.00   0.00342    32.44 
  7.2000 -68.86399     0.00  -0.35685    28.97 
  7.3000 -69.24242     0.00   0.26155    25.83 
  7.4000 -69.25082     0.00   0.59286    23.00 
  7.5000 -69.37676     0.00   0.48677    20.47 
  7.6000 -69.37622     0.00   0.48347    18.20 
  7.7000 -69.18117     0.00  -0.18579    16.18 
  7.8000 -69.61546     0.00  -1.03180    14.39 
  7.9000 -69.73494     0.00  -0.51337    12.80 
  8.0000 -70.14536     0.00   0.80250    11.41 
  8.1000 -70.61223     0.00  -0.12465    10.20 
  8.2000 -70.84585     0.00   0.22778     9.15 
  8.3000 -70.84515     0.00  -0.33806     8.26 
  8.4000 -70.72905     0.00  -0.11445     7.51 
  8.5000 -70.73449     0.00   0.05326     6.91 
  8.6000 -70.35445     0.00  -0.04755     6.43 
  8.7000 -70.16631     0.00  -0.12060     6.08 
  8.8000 -70.23364     0.00  -0.03521     5.86 
  8.9000 -70.05907     0.00  -0.70717     5.77 
  9.0000 -70.32848     0.00   0.21937     5.80 
  9.1000 -70.45919     0.00   0.59178     6.19 
  9.2000 -70.92937     0.00   0.34635     6.51 
  9.3000 -71.30131     0.00   0.31247     6.96 
  9.4000 -71.67785     0.00  -0.25333     7.55 
  9.5000 -71.50224     0.00   0.45785     8.29 
  9.6000 -71.40944     0.00   0.63283     9.19 
  9.7000 -71.77433     0.00   0.40680    10.26 
  9.8000 -72.07688     0.00  -0.36313    11.50 
  9.9000 -72.15584     0.00  -0.09465    12.92 
 10.0000 -72.03330     0.00   0.06411    14.53 
 10.1000 -72.07013     0.00   0.09530    17.90 
 10.2000 -71.91145     0.00   1.02135    20.04 
 10.3000 -71.30625     0.00   0.45010    22.39 
 10.4000 -71.45869     0.00  -0.13764    24.96 
 10.5000 -71.44479     0.00   0.09670    27.76 
 10.6000 -72.08265     0.00   0.23996    30.78 
 10.7000 -71.83572     0.00   0.87098    34.03 
 10.8000 -71.89426     0.00   0.20240    37.51 
 10.9000 -71.84524     0.00   0.39849    41.22 
 11.0000 -71.60251     0.00  -0.00659    45.16 
 11.1000 -71.50666     0.00  -0.26521    53.85 
 11.2000 -71.50694     0.00  -0.02926    58.56 
 11.3000 -71.59232     0.00  -0.29865    63.44 
 11.4000 -71.21091     0.00   0.11758    68.50 
 11.5000 -71.54478     0.00   0.16976    73.72 
 11.6000 -71.30805     0.00   0.64177    79.06 
 11.7000 -71.54019     0.00   0.30276    84.51 
 11.8000 -71.41344     0.00   0.38288    90.05 
 11.9000 -71.42540     0.00  -0.05743    95.65 
 12.0000 -71.67292     0.00  -0.24663   101.28 
 12.1000 -71.96284     0.00   0.10401   113.85 
 12.2000 -72.09446     0.00   0.26287   119.96 
 12.3000 -72.12611     0.00   0.09535   126.00 
 12.4000 -72.40325     0.00   0.15207   131.92 
 12.5000 -72.31580     0.00  -0.41532   137.69 
 12.6000 -72.28721     0.00  -0.09984   143.26 
 12.7000 -72.44259     0.00  -0.21507   148.61 
 12.8000 -72.17447     0.00   0.73024   153.70 
 12.9000 -72.15142     0.00   0.05549   158.50 
 13.0000 -72.09220     0.00   0.63325   162.99 
 13.1000 -71.82640     0.00   0.31171   173.35 
 13.2000 -72.12941     0.00   0.20895   177.57 
 13.3000 -72.01925     0.00  -1.00019   181.38 
 13.4000 -72.30908     0.00  -0.20790   184.75 
 13.5000 -71.82007     0.00  -0.18205   187.67 
 13.6000 -71.41957     0.00  -0.73812   190.11 
 13.7000 -71.24202     0.00  -0.15075   192.06 
 13.8000 -71.17038     0.00   0.14099   193.51 
 13.9000 -71.57051     0.00   0.34587   194.47 
 14.0000 -71.55485     0.00   0.33670   194.93 
 14.1000 -71.82623     0.00   0.40221   198.54 
 14.2000 -71.84387     0.00   0.92697   198.29 
 14.3000 -71.98670     0.00   1.09514   197.54 
 14.4000 -72.29072     0.00   0.12186   196.31 
 14.5000 -72.79261     0.00   0.04311   194.63 
 14.6000 -73.19562     0.00  -0.35357   192.49 
 14.7000 -73.38588     0.00  -0.32575   189.94 
 14.8000 -73.50741     0.00  -0.35950   186.97 
 14.9000 -73.43511     0.00  -0.22049   183.64 
 15.0000 -73.61882     0.00   0.05405   179.95 
 15.1000 -73.70361     0.00   0.11290   177.49 
 15.2000 -74.00391     0.00   0.76671   173.30 
 15.3000 -73.50222     0.00   1.07566   168.86 
 15.4000 -73.15443     0.00   0.87431   164.18 
 15.5000 -72.90777     0.00   0.02849   159.29 
 15.6000 -73.07094     0.00  -0.11680   154.24 
 15.7000 -73.69387     0.00  -0.44780   149.03 
 15.8000 -73.73524     0.00  -1.11697   143.72 
 15.9000 -73.68325     0.00  -1.14307   138.33 
 16.0000 -73.61648     0.00  -0.78786   132.87 
 16.1000 -73.57671     0.00  -0.65227   127.91 
 16.2000 -73.63029     0.00  -0.06767   122.47 
 16.3000 -73.64992     0.00   0.69582   117.04 
 16.4000 -73.69823     0.00   1.47344   111.66 
 16.5000 -73.98007     0.00   0.20646   106.34 
 16.6000 -73.56355     0.00  -0.05223   101.11 
 16.7000 -73.83806     0.00  -0.26416    95.97 
 16.8000 -73.97437     0.00  -0.11601    90.95 
 16.9000 -74.19450     0.00   0.21496    86.07 
 17.0000 -74.40385     0.00   0.53143    81.32 
 17.1000 -74.05125     0.00   0.20228    76.92 
 17.2000 -74.23926     0.00   0.55894    72.51 
 17.3000 -74.34684     0.00   0.22787    68.27 
 17.4000 -74.41730     0.00   0.39862    64.22 
 17.5000 -74.65042     0.00   0.00334    60.35 
 17.6000 -74.50828     0.00  -0.60634    56.68 
 17.7000 -74.45052     0.00  -0.62563    53.20 
 17.8000 -74.69244     0.00  -1.42396    49.92 
 17.9000 -74.78133     0.00  -0.04616    46.84 
 18.0000 -74.92258     0.00   0.17402    43.96 
 18.1000 -74.98965     0.00   0.10455    41.52 
 18.2000 -75.11838     0.00  -0.22562    39.07 
 18.3000 -75.36510     0.00   0.74908    36.82 
 18.4000 -75.22875     0.00   1.72853    34.77 
 18.5000 -75.06769     0.00   0.54595    32.92 
 18.6000 -75.39483     0.00   0.61362    31.28 
 18.7000 -75.66657     0.00   0.30862    29.83 
 18.8000 -75.62460     0.00   0.02578    28.59 
 18.9000 -75.48045     0.00  -0.44858    27.54 
 19.0000 -75.31379     0.00  -0.27908    26.69 
 19.1000 -75.29471     0.00  -0.16664    26.80 
 19.2000 -75.56909     0.00   0.21716    26.39 
 19.3000 -75.30094     0.00   0.63996    26.18 
 19.4000 -75.06174     0.00   0.25478    26.16 
 19.5000 -75.55088     0.00   0.68927    26.32 
 19.6000 -75.47157     0.00  -0.57235    26.68 
 19.7000 -75.63882     0.00  -0.23437    27.21 
 19.8000 -75.35455     0.00   0.14453    27.93 
 19.9000 -75.33038     0.00   0.47249    28.83 
 20.0000 -75.47882     0.00   0.63076    29.91 
 20.1000 -75.26759     0.00   0.13015    33.12 
 20.2000 -75.63433     0.00  -0.03177    34.69 
 20.3000 -75.94761     0.00  -0.01961    36.43 
 20.4000 -76.13638     0.00  -0.30802    38.33 
 20.5000 -76.11067     0.00   0.13570    40.38 
 20.6000 -76.17562     0.00  -0.25260    42.58 
 20.7000 -76.15034     0.00   0.23445    44.93 
 20.8000 -76.25088     0.00  -0.08617    47.41 
 20.9000 -76.55741     0.00   0.16398    50.02 
 21.0000 -76.44984     0.00   0.15897    52.75 
 21.1000 -76.12961     0.00  -0.64145    59.15 
 21.2000 -76.03358     0.00   0.13105    62.37 
 21.3000 -76.21060     0.00  -0.38976    65.67 
 21.4000 -75.92168     0.00  -0.97562    69.05 
 21.5000 -75.65247     0.00  -0.09790    72.49 
 21.6000 -75.43326     0.00  -0.03937    75.98 
 21.7000 -75.12845     0.00   0.09614    79.50 
 21.8000 -75.32027     0.00   0.42276    83.05 
 21.9000 -75.53980     0.00   1.11140    86.60 
 22.0000 -75.80042     0.00   0.06454    90.15 
 22.1000 -75.71418     0.00  -0.10230    98.43 
 22.2000 -76.12634     0.00   0.32920   102.28 
 22.3000 -75.67470     0.00   0.51795   106.07 
 22.4000 -75.55399     0.00   0.56234   109.78 
 22.5000 -75.35140     0.00   0.35864   113.39 
 22.6000 -75.64473     0.00   0.61814   116.90 
 22.7000 -75.72920     0.00   0.47038   120.28 
 22.8000 -75.44695     0.00  -0.36438   123.52 
 22.9000 -75.46781     0.00   0.45085   126.60 
 23.0000 -75.61307     0.00   0.94689   129.52 
 23.1000 -75.50489     0.00  -0.67479   137.13 
 23.2000 -75.30912     0.00  -0.58467   140.04 
 23.3000 -75.26297     0.00  -0.31148   142.74 
 23.4000 -74.97197     0.00   0.67278   145.20 
 23.5000 -74.79078     0.00   0.89706   147.43 
 23.6000 -75.12690     0.00  -0.23979   149.42 
 23.7000 -75.50531     0.00  -0.49562   151.15 
 23.8000 -75.40273     0.00  -0.68364   152.62 
 23.9000 -75.32619     0.00  -0.55601   153.82 
 24.0000 -74.95934     0.00  -0.05892   154.76 
 24.1000 -74.95490     0.00   0.10765   159.39 
 24.2000 -75.04000     0.00  -0.14020   160.08 
 24.3000 -75.32452     0.00   0.04532   160.50 
 24.4000 -75.15187     0.00   0.39659   160.63 
 24.5000 -75.93260     0.00   0.60696   160.48 
 24.6000 -75.82647     0.00   0.02513   160.07 
 24.7000 -75.55627     0.00   0.15862   159.37 
 24.8000 -75.46624     0.00   0.08422   158.42 
 24.9000 -75.60723     0.00   0.58424   157.21 
 25.0000 -75.69170     0.00   0.44524   155.76 
 25.1000 -75.93286     0.00   0.34357   156.71 
 25.2000 -76.32903     0.00   0.19430   154.99 
 25.3000 -76.20286     0.00   0.15402   153.04 
 25.4000 -75.71953     0.00   0.36933   150.89 
 25.5000 -75.38153     0.00   0.92629   148.54 
 25.6000 -75.55994     0.00   0.40250   146.01 
 25.7000 -75.98012     0.00  -0.33861   143.29 
 25.8000 -76.37919     0.00  -0.21653   140.43 
 25.9000 -76.72003     0.00  -0.75480   137.41 
 26.0000 -76.45816     0.00  -1.30013   134.27 
 26.1000 -76.15699     0.00  -0.27226   132.53 
 26.2000 -76.26929     0.00  -0.21489   129.28 
 26.3000 -76.39256     0.00  -0.14770   125.95 
 26.4000 -76.59774     0.00  -0.07960   122.55 
 26.5000 -76.15039     0.00  -0.05052   119.08 
 26.6000 -75.95551     0.00  -0.01853   115.58 
 26.7000 -75.97065     0.00  -0.54597   112.03 
 26.8000 -75.98845     0.00   0.28308   108.47 
 26.9000 -75.61723     0.00   0.25464   104.91 
 27.0000 -75.68529     0.00  -0.20256   101.35 
 27.1000 -75.67218     0.00   0.18131    98.65 
 27.2000 -75.54429     0.00  -0.33275    95.21 
 27.3000 -75.65194     0.00  -0.02634    91.82 
 27.4000 -75.83029     0.00   0.63867    88.48 
 27.5000 -75.81837     0.00  -0.46639    85.19 
 27.6000 -75.84900     0.00  -0.11410    81.99 
 27.7000 -75.83486     0.00  -0.25331    78.87 
 27.8000 -75.63314     0.00   0.21379    75.84 
 27.9000 -75.61491     0.00   0.57923    72.91 
 28.0000 -75.42305     0.00   1.65781    70.08 
 28.1000 -75.68368     0.00   0.74086    68.07 
 28.2000 -75.70175     0.00   0.38038    65.53 
 28.3000 -75.70262     0.00   0.10031    63.12 
 28.4000 -75.76679     0.00   0.31260    60.84 
 28.5000 -76.22095     0.00  -0.00250    58.70 
 28.6000 -76.17293     0.00   0.24360    56.70 
 28.7000 -76.08413     0.00  -0.41885    54.84 
 28.8000 -76.18332     0.00  -1.46458    53.13 
 28.9000 -76.38364     0.00  -0.35676    51.57 
 29.0000 -76.62656     0.00   0.48552    50.16 
 29.1000 -76.47793     0.00   0.26281    49.98 
 29.2000 -76.61193     0.00  -0.17313    48.97 
 29.3000 -76.69366     0.00  -0.26259    48.10 
 29.4000 -76.67457     0.00   0.52870    47.40 
 29.5000 -76.58860     0.00  -0.10440    46.85 
 29.6000 -76.61916     0.00  -0.16002    46.45 
 29.7000 -76.40117     0.00   0.65882    46.20 
 29.8000 -76.50700     0.00   0.91666    46.11 
 29.9000 -76.74459     0.00   0.12466    46.17 
 30.0000 -77.03426     0.00   0.42707    46.38 
 30.1000 -77.01683     0.00  -0.16355    48.62 
 30.2000 -77.21055     0.00   0.46350    49.26 
 30.3000 -76.86298     0.00   0.79495    50.03 
 30.4000 -76.28446     0.00  -0.36569    50.93 
 30.5000 -76.62011     0.00  -0.02489    51.96 
