  0.1000 -64.89610     0.00   0.15238     0.48 
  0.2000 -64.51551     0.00   0.62488     2.78 
  0.3000 -64.57811     0.00   0.05316     3.75 
  0.4000 -64.02227     0.00   0.93669     4.98 
  0.5000 -63.66745     0.00   0.11558     6.53 
  0.6000 -63.59595     0.00  -0.22712     8.46 
  0.7000 -63.62144     0.00   0.04278    10.83 
  0.8000 -63.36724     0.01   0.21080    13.71 
  0.9000 -63.43060     0.01  -0.64601    17.16 
  1.0000 -63.19412     0.01   0.16902    21.24 
  1.1000 -63.29428     0.01   0.58217    26.02 
  1.2000 -63.32732     0.01   0.48091    31.56 
  1.3000 -63.82105     0.01   0.14631    37.89 
  1.4000 -63.79943     0.02   0.69884    45.03 
  1.5000 -63.64763     0.02  -0.00231    52.99 
  1.6000 -63.58403     0.03   0.44243    61.71 
  1.7000 -63.66484     0.03  -0.14211    71.13 
  1.8000 -63.57156     0.04  -0.48253    81.09 
  1.9000 -63.13152     0.05  -0.53128    91.42 
  2.0000 -62.85330     0.06  -0.77406   101.85 
  2.1000 -62.74054     0.08  -0.10123   112.07 
  2.2000 -62.35064     0.10  -0.10667   122.14 
  2.3000 -62.75383     0.12  -0.17389   131.88 
  2.4000 -62.44536     0.15   0.36039   141.06 
  2.5000 -62.23469     0.18  -0.08544   149.46 
  2.6000 -61.99696     0.21  -0.10162   156.82 
  2.7000 -61.86086     0.23   0.56409   162.92 
  2.8000 -61.77990     0.26   0.73390   167.55 
  2.9000 -61.51792     0.28   0.61828   170.50 
  3.0000 -60.91327     0.29   0.08343   171.61 
  3.1000 -60.80207     0.66  -0.51835   170.76 
  3.2000 -60.78421     0.70  -1.02654   167.86 
  3.3000 -60.78860     0.73   0.00569   162.81 
  3.4000 -61.35192     0.74  -0.41378   155.55 
  3.5000 -61.68115     0.74  -0.13668   146.08 
  3.6000 -61.26121     0.73  -0.01568   134.44 
  3.7000 -61.19318     0.70  -0.52326   120.76 
  3.8000 -61.43738     0.67  -0.17196   105.20 
  3.9000 -61.68803     0.68  -0.09486    87.99 
  4.0000 -61.72304     0.68  -0.36961    69.42 
  4.1000 -61.74317     0.67  -0.53313    65.91 
  4.2000 -61.85830     0.65   0.05186    67.39 
  4.3000 -61.84042     0.63  -0.78072    68.33 
  4.4000 -62.16648     0.60  -0.96459    68.65 
  4.5000 -62.48290     0.56  -0.88483    68.28 
  4.6000 -62.47834     0.00  -0.67253    67.17 
  4.7000 -62.59364     0.00  -1.06908    65.32 
  4.8000 -62.58852     0.00  -0.54105    62.73 
  4.9000 -62.95096     0.00  -0.88675    59.46 
  5.0000 -63.10288     0.00  -0.07855    55.58 
  5.1000 -63.14736     0.00  -0.49061    51.19 
  5.2000 -63.25012     0.00  -1.21478    46.41 
  5.3000 -63.19075     0.00  -0.69070    41.38 
  5.4000 -63.15759     0.00  -0.57905    36.24 
  5.5000 -63.25938     0.00  -0.62101    31.13 
  5.6000 -62.87083     0.00  -1.33486    26.21 
  5.7000 -62.76454     0.00  -0.76949    21.61 
  5.8000 -62.80823     0.00  -0.99856    17.41 
  5.9000 -62.93132     0.00  -0.66121    13.71 
  6.0000 -63.39719     0.00  -1.17445    10.54 
  6.1000 -64.39932     0.00  -0.61831     7.90 
  6.2000 -64.29026     0.00  -1.55008     5.78 
  6.3000 -64.16852     0.00  -2.20921     4.13 
  6.4000 -63.91775     0.00  -2.51879     2.87 
  6.5000 -63.68601     0.00  -0.95515     1.96 
  6.6000 -63.88444     0.00  -1.21965     1.30 
  6.7000 -63.67026     0.00  -0.62656     0.85 
  6.8000 -63.91646     0.00  -0.09907     0.00 
  6.9000 -64.25547     0.00  -1.08236     0.00 
  7.0000 -64.69830     0.00  -1.04861     0.00 
  7.1000 -64.55845     0.00  -1.47886     0.00 
  7.2000 -64.81298     0.00  -0.87169     0.00 
  7.3000 -65.05953     0.00  -1.08923     0.00 
  7.4000 -65.36538     0.00  -1.90731     0.00 
  7.5000 -64.92901     0.00  -2.03309     0.00 
  7.6000 -65.01444     0.00  -1.42518     0.00 
  7.7000 -65.09058     0.00  -0.78920     0.00 
  7.8000 -65.22363     0.00  -0.20183     0.00 
  7.9000 -64.87918     0.00  -0.12196     0.00 
  8.0000 -65.28404     0.00  -0.05086     0.00 
  8.1000 -65.47825     0.00  -0.57589     0.00 
  8.2000 -65.59980     0.00   0.03156     0.00 
  8.3000 -65.93481     0.00  -1.18896     0.00 
  8.4000 -65.97684     0.00  -2.00500     0.00 
  8.5000 -66.18905     0.00  -1.65734     0.00 
  8.6000 -65.81884     0.00  -1.66714     0.00 
  8.7000 -66.14076     0.00  -1.51338     0.00 
  8.8000 -65.90819     0.00  -0.76367     0.00 
  8.9000 -66.24469     0.00  -0.23913     0.00 
  9.0000 -66.39159     0.00  -0.20528     0.00 
  9.1000 -66.17460     0.00  -0.53336     0.00 
  9.2000 -66.09330     0.00  -0.00048     0.00 
  9.3000 -66.08128     0.00  -0.32666     0.00 
  9.4000 -65.95957     0.00  -0.16509     0.00 
  9.5000 -66.13075     0.00  -0.68393     0.00 
  9.6000 -66.05219     0.00  -0.72673     0.00 
  9.7000 -65.87771     0.00  -1.63626     0.00 
  9.8000 -65.72886     0.00  -1.17872     0.00 
  9.9000 -66.10036     0.00  -0.64259     0.00 
 10.0000 -66.30991     0.00  -0.84539     0.00 
 10.1000 -66.16065     0.00  -0.70743     0.00 
 10.2000 -65.87036     0.00  -0.78966     0.00 
 10.3000 -65.81813     0.00  -0.50029     0.00 
 10.4000 -65.77510     0.00  -0.47207     0.00 
 10.5000 -65.85112     0.00  -0.38871     0.00 
 10.6000 -65.74019     0.00  -0.29673     0.00 
 10.7000 -65.86943     0.00  -0.28301     0.00 
 10.8000 -66.08196     0.00   0.16747     0.00 
 10.9000 -65.94010     0.00  -0.23525     0.00 
 11.0000 -65.85361     0.00  -0.42533     0.00 
 11.1000 -65.79681     0.00  -0.83947     0.00 
 11.2000 -66.14121     0.00  -0.78345     0.00 
 11.3000 -66.20948     0.00  -0.84045     0.00 
 11.4000 -66.45541     0.00   0.24706     0.00 
 11.5000 -66.29530     0.00  -0.08119     0.00 
 11.6000 -66.04705     0.00  -0.39443     0.00 
 11.7000 -65.70027     0.00  -0.32093     0.00 
 11.8000 -65.58073     0.00  -0.05865     0.00 
 11.9000 -65.79764     0.00   0.42995     0.00 
 12.0000 -66.25364     0.00  -0.47242     0.00 
 12.1000 -66.21150     0.00  -0.15801     0.00 
 12.2000 -66.42322     0.00  -0.23707     0.00 
 12.3000 -66.14593     0.00  -0.34661     0.00 
 12.4000 -66.55882     0.00  -1.40440     0.00 
 12.5000 -66.74817     0.00  -1.00315     0.00 
 12.6000 -66.68768     0.00  -0.54292     0.00 
 12.7000 -66.96819     0.00   0.31190     0.00 
 12.8000 -66.99142     0.00   0.25412     0.00 
 12.9000 -67.14352     0.00  -0.05457     0.00 
 13.0000 -67.27063     0.00  -0.24411     0.00 
 13.1000 -66.81701     0.00  -0.44164     0.00 
 13.2000 -67.02937     0.00  -0.06111     0.00 
 13.3000 -67.15575     0.00  -0.00552     0.00 
 13.4000 -67.57988     0.00   0.02787     0.00 
 13.5000 -67.32995     0.00  -0.02874     0.00 
 13.6000 -67.23001     0.00  -0.97064     0.00 
 13.7000 -67.22184     0.00  -0.52151     0.00 
 13.8000 -66.78549     0.00  -0.15330     0.00 
 13.9000 -67.04810     0.00   0.36766     0.00 
 14.0000 -67.23337     0.00  -0.48147     0.00 
 14.1000 -67.48410     0.00  -0.39080     0.00 
 14.2000 -67.38233     0.00  -0.93208     0.00 
 14.3000 -67.46074     0.00  -0.63790     0.00 
 14.4000 -67.52105     0.00   0.38316     0.00 
 14.5000 -67.13291     0.00   0.60155     0.00 
 14.6000 -66.98950     0.00   0.70615     0.00 
 14.7000 -66.65915     0.00  -0.21846     0.00 
 14.8000 -66.62668     0.00  -0.80334     0.00 
 14.9000 -66.17855     0.00   0.30307     0.00 
 15.0000 -65.61491     0.00   0.01243     0.00 
 15.1000 -65.71852     0.00  -0.29520     0.00 
 15.2000 -65.66696     0.00   0.45853     0.00 
 15.3000 -65.48611     0.00  -0.07933     0.00 
 15.4000 -65.45111     0.00   0.03700     0.00 
 15.5000 -65.53917     0.00  -0.15354     0.00 
 15.6000 -65.39298     0.00   0.08220     0.00 
 15.7000 -65.28989     0.00  -0.04986     0.00 
 15.8000 -65.36586     0.00   1.05596     0.00 
 15.9000 -65.62599     0.00   0.10590     0.00 
 16.0000 -65.94520     0.00  -0.20392     0.01 
 16.1000 -66.07573     0.00  -0.46942     0.01 
 16.2000 -65.84966     0.00   0.19713     0.01 
 16.3000 -66.08355     0.00   0.51669     0.01 
 16.4000 -65.98268     0.00  -0.36924     0.01 
 16.5000 -65.94971     0.00  -0.63713     0.02 
 16.6000 -66.33296     0.00  -0.18872     0.02 
 16.7000 -66.44351     0.00  -0.04005     0.03 
 16.8000 -66.54571     0.00   0.06281     0.03 
